Subject_ID,FINAL_QC
ABIDEII_UCD_1_30010,0.5
ABIDEII_UCD_1_30011,1
ABIDEII_UCD_1_30012,0.5
ABIDEII_UCD_1_30014,1
ABIDEII_UCD_1_30018,0
ABIDEII_UCD_1_30019,1
ABIDEII_UCD_1_30020,1
ABIDEII_UCD_1_30021,0.5
ABIDEII_UCD_1_30028,0.5
ABIDEII_UCLA_1_29730,1
ABIDEII_UCLA_1_29731,1
ABIDEII_UCLA_1_29737,1
ABIDEII_UCLA_1_29746,0.5
ABIDEII_UCLA_1_29747,1
ABIDEII_UCLA_1_29753,1
ABIDEII_UCLA_1_29757,1
ABIDEII_UCLA_1_29759,1
NIMH_9215,0
NIMH_9216,0
NIMH_9217,1
NIMH_9219,0
NIMH_9224,0
NIMH_9225,0
NIMH_9226,0.5
NIMH_9227,1
NIMH_9229,0
NIMH_9230,0.5
NIMH_9232,0
NIMH_9234,0
NIMH_9235,0
NIMH_9238,0
NIMH_9241,0
NIMH_9243,0
NIMH_9246,0.5
NIMH_9249,0.5
NIMH_9251,0
NIMH_9252,1
NIMH_9254,1
NIMH_9256,1
NIMH_9257,1
NIMH_9258,1
NIMH_9259,0
NIMH_9268,0
NIMH_9272,1
NIMH_9273,0
NIMH_9274,0.5
NIMH_9279,1
NIMH_9282,1
NIMH_9287,0
NIMH_9288,1
NIMH_9289,1
NIMH_9295,0
NIMH_9299,1
NIMH_9309,0.5
NIMH_9311,0
NIMH_9314,0.5
NIMH_9318,0
NIMH_9320,1
NIMH_9321,0.5
NIMH_9323,1
NIMH_9325,0
NIMH_9328,0
NIMH_9331,1
NIMH_9332,0
NIMH_9335,0.5
NIMH_9336,0
NIMH_9343,0.5
NIMH_9344,1
NIMH_9345,0.5
NIMH_9346,0
NIMH_9349,1
NIMH_9350,1
NIMH_9351,1
NIMH_9352,0
NIMH_9353,0
NIMH_9354,0
NIMH_9355,1
NIMH_9357,1
NIMH_9359,0.5
NIMH_9360,1
NIMH_9361,1
NIMH_9363,1
NIMH_9364,1
NIMH_9370,0.5
NIMH_9372,1
NIMH_9376,0.5
NIMH_9379,0
NIMH_9382,0.5
NIMH_9388,1
NIMH_9396,1
NIMH_9398,1
NIMH_9399,1
NIMH_9601,1
NIMH_9602,0
NIMH_9604,0.5
NIMH_9605,0.5
NIMH_9606,1
NIMH_9608,0
NIMH_9611,1
NIMH_9612,0
NIMH_9614,1
NIMH_9618,0
NIMH_9619,1
NIMH_9620,0.5
NIMH_9625,0
NIMH_9626,1
NIMH_9628,1
NIMH_9633,1
NIMH_9634,1
NIMH_9637,1
NIMH_9638,0.5
NIMH_9642,0.5
NIMH_9645,1
NIMH_9646,1
NIMH_9647,0.5
NIMH_9651,1
NIMH_9652,0.5
NIMH_9657,1
NIMH_9659,0.5
NIMH_9662,1
NIMH_9666,0
NIMH_9667,0.5
NIMH_9668,1
NIMH_9670,1
NIMH_9672,0.5
NIMH_9674,1
NIMH_9677,1
NIMH_9678,0
NIMH_9681,0.5
NIMH_9682,1
NIMH_9684,1
NIMH_9685,1
NIMH_9687,1
NIMH_9688,0
NIMH_9690,1
NIMH_9692,0
NIMH_9693,0
NIMH_9695,0.5
TO_d8_0001_04,0.5
TO_d8_0002_03,0.5
TO_d8_0003_02,1
TO_d8_0004_01,1
TO_d8_0006_03,1
TO_d8_0007_03,1
TO_d8_0008_01,1
TO_d8_0009_01,1
